,U-Factor Wall [Btu/hr-ft2-°F],U-Factor Roof [Btu/hr-ft2-°F],Net Wall Area [ft2],Net Roof Area [ft2],Glass U-Factor [Btu/hr-ft2-°F],Glass SHGC,Infiltration (cfm/ft2),Window-Wall Ratio,Plug and Process [W/ft2],Lighting [W/ft2],Building Area [ft2],vpz (cfm),vot (cfm),Chiller,Boiler,DX Cooling,DX Heating,Purchased Cooling,Purchased Heating,Geothermal,Heating (kBtu/ft2),Cooling (kBtu/ft2),Fans (kBtu/ft2),Pumps (kBtu/ft2),Heat Rejection (kBtu/ft2),Total Lighting (kBtu/ft2),Total Equipment (kBtu/ft2),Climate Category_cool,Climate Category_hot,Climate Category_temperate,Building Type_Hospital,Building Type_Lodging,Building Type_Office,Building Type_Restaurant,Building Type_Retail,Building Type_School,Building Type_Warehouse
31,0.3629999999999999,0.358,2704.76,783.66,0.5906729399999999,0.3849999999999999,0.2151923216080201,29.84,0.8016692772999999,1.2540511455,84351.087072,37541.468288,4447.105344,1,1,0,1,0,0,0,28.734047637834813,1.5055881819471713,3.390860106472108,0.6372259556550792,0.0562952219684702,6.151460931464877,13.186116363273417,1,0,0,0,1,0,0,0,0,0
32,0.704,0.358,2704.76,783.66,1.0279540699999998,0.2509999999999999,0.2151923216080201,29.84,0.8016692772999999,1.2540511455,84351.087072,35563.28192,4447.105344,1,0,0,0,0,0,0,0.0,21.80535307292501,5.409285400323667,0.9225224997228356,1.1577039360102772,6.159101799915687,13.186116363273417,0,1,0,0,1,0,0,0,0,0
33,0.704,0.358,2704.76,783.66,1.0279540699999998,0.2509999999999999,0.2151923216080201,29.84,0.8016692772999999,1.2540511455,84351.087072,33047.11192,4447.105344,1,0,0,1,0,0,0,0.0003370971375357,15.20712606851275,4.207421739296207,0.8283600326378494,0.7247588457018623,6.159775994190759,13.186116363273417,0,1,0,0,1,0,0,0,0,0
34,0.3629999999999999,0.358,2704.76,783.66,0.5906729399999999,0.4879999999999999,0.2151923216080201,29.84,0.8016692772999999,1.2540511455,84351.087072,37894.261808,4447.105344,1,1,0,1,0,0,0,39.37923814407626,1.7182964757322292,3.562217818052781,0.7903804218088217,0.0786559987583416,6.150000177202222,13.186116363273417,1,0,0,0,1,0,0,0,0,0
35,0.704,0.358,2704.76,783.66,1.0279540699999998,0.2509999999999999,0.2151923216080201,29.84,0.8016692772999999,1.2540511455,84351.087072,47764.640512000005,4447.105344,1,1,0,1,0,0,0,0.675542663621643,13.482537112879855,4.632950692578835,0.9293768081860624,0.699476560386681,6.156742119952938,13.186116363273417,0,0,1,0,1,0,0,0,0,0
36,0.3629999999999999,0.358,2704.76,783.66,0.5906729399999999,0.3849999999999999,0.2151923216080201,29.84,0.8016692772999999,1.2540511455,84351.087072,32054.416640000003,4447.105344,1,1,0,1,0,0,0,20.31875469639235,3.941339732067988,2.8757756803174828,0.7627384565308901,0.1877631056074127,6.153595880002603,13.186116363273417,0,0,1,0,1,0,0,0,0,0
37,0.3629999999999999,0.358,2704.76,783.66,0.5906729399999999,0.3849999999999999,0.2151923216080201,29.84,0.8016692772999999,1.2540511455,84351.087072,28364.599008,4447.105344,1,1,0,1,0,0,0,11.552318903350152,0.1770883629187806,1.9377467122680023,0.4773295467506219,0.0080903313008579,6.150674371477294,13.186116363273417,0,0,1,0,1,0,0,0,0,0
38,0.3629999999999999,0.358,2704.76,783.66,0.5906729399999999,0.3849999999999999,0.2151923216080201,29.84,0.8016692772999999,1.2540511455,84351.087072,40741.188976,4447.105344,1,1,0,1,0,0,0,41.29675902809212,2.1200038979623312,3.3946805406975136,0.9890430015298902,0.1100060325491663,6.153146417152556,13.186116363273417,1,0,0,0,1,0,0,0,0,0
39,0.477,0.358,2704.76,783.66,1.0279540699999998,0.61,0.2151923216080201,29.84,0.8016692772999999,1.2540511455,84351.087072,46191.795888,4447.105344,1,1,0,1,0,0,0,0.9912903157801286,3.9097649668521393,2.331700900334782,0.83600090108866,0.1777625571938521,6.156742119952938,13.186116363273417,0,0,1,0,1,0,0,0,0,0
40,0.3629999999999999,0.358,2704.76,783.66,0.5906729399999999,0.3849999999999999,0.2151923216080201,29.84,0.8016692772999999,1.2540511455,84351.087072,31145.629008,4447.105344,1,1,0,1,0,0,0,13.195892180261955,0.653968446819355,2.125060355025368,0.5423892942950216,0.028203793840491,6.150786737189805,13.186116363273417,0,0,1,0,1,0,0,0,0,0
41,0.704,0.358,2704.76,783.66,1.0279540699999998,0.2509999999999999,0.2151923216080201,29.84,0.8016692772999999,1.2540511455,84351.087072,35949.34185600001,4447.105344,1,1,0,1,0,0,0,2.824424549699537,11.421188116848745,3.633907142635384,0.8747670719052709,0.599808173388611,6.155955559965353,13.186116363273417,0,1,0,0,1,0,0,0,0,0
42,0.704,0.358,2704.76,783.66,1.0279540699999998,0.2509999999999999,0.2151923216080201,29.84,0.8016692772999999,1.2540511455,84351.087072,50329.75664,4447.105344,1,1,0,1,0,0,0,2.764645990643197,9.092633456464297,3.863919756147278,0.9006111857830119,0.3604692057382286,6.157641045653032,13.186116363273417,0,1,0,0,1,0,0,0,0,0
43,0.3629999999999999,0.273,2704.76,783.66,0.51054289,0.3949999999999999,0.1948993585940013,29.84,0.8016692772999999,1.2540511455,84351.087072,38328.632208,4432.908848000001,1,1,0,1,0,0,0,6.594631301611876,4.2885497837298105,2.872629440367149,0.6425071441431394,0.1587727517793382,6.1553937314027936,13.186116363273417,0,0,1,0,1,0,0,0,0,0
44,0.3629999999999999,0.273,2704.76,783.66,0.63082602,0.253,0.1948993585940013,29.84,0.8016692772999999,1.2540511455,84351.087072,30378.806336000005,4432.908848000001,1,1,0,1,0,0,0,9.943803728742065,5.522325307110656,2.76127501926784,0.7000383889492406,0.2596771616150393,6.1571915828029855,13.186116363273417,0,0,1,0,1,0,0,0,0,0
45,0.3629999999999999,0.273,2704.76,783.66,0.48060419,0.394,0.1948993585940013,29.84,0.8016692772999999,1.2540511455,84351.087072,30108.861024000005,4432.908848000001,1,1,0,1,0,0,0,26.97507477417327,1.972917180284233,2.844313280814146,0.6765539550342501,0.0893307414469737,6.154270074277675,13.186116363273417,1,0,0,0,1,0,0,0,0,0
46,0.3629999999999999,0.273,2704.76,783.66,0.48060419,0.394,0.1948993585940013,29.84,0.8016692772999999,1.2540511455,84351.087072,36503.0052,4432.908848000001,1,1,0,1,0,0,0,13.243535242367006,2.857797166315576,2.914429485421582,0.5995834419635871,0.1027022612358918,6.154382439990187,13.186116363273417,1,0,0,0,1,0,0,0,0,0
47,0.704,0.273,2704.76,783.66,1.02707352,0.2509999999999999,0.2151923216080201,29.84,0.8016692772999999,1.2540511455,84351.087072,52467.494672,4432.908848000001,1,1,0,1,0,0,0,0.0089892570009533,17.39567305110735,5.350068669829887,1.0929812856034131,0.9266800310857766,6.159551262765736,13.186116363273417,0,0,0,0,1,0,0,0,0,0
48,0.3629999999999999,0.273,2704.76,783.66,0.63082602,0.253,0.1948993585940013,29.84,0.8016692772999999,1.2540511455,84351.087072,36781.214144,4432.908848000001,1,1,0,1,0,0,0,4.2733804125407024,5.814813256779175,3.063988248774943,0.6361022985299601,0.2282147621117026,6.157079217090473,13.186116363273417,0,0,1,0,1,0,0,0,0,0
49,0.2099999999999999,0.273,2704.76,783.66,0.4103362999999999,0.4449999999999999,0.1948993585940013,29.84,0.8016692772999999,1.2540511455,84351.087072,37191.005536,4432.908848000001,1,1,0,1,0,0,0,35.585097495398884,0.8797111632557956,3.601545817431952,0.6493614526063662,0.0355075651537656,6.136853388838327,13.186116363273417,1,0,0,0,1,0,0,0,0,0
50,0.3629999999999999,0.273,2704.76,783.66,0.48060419,0.394,0.1948993585940013,29.84,0.8016692772999999,1.2540511455,84351.087072,36611.068080000005,4432.908848000001,1,1,0,1,0,0,0,25.1366593517658,1.6130098031085636,3.214895400678447,0.6231802415910898,0.0598909247688515,6.151460931464877,13.186116363273417,1,0,0,0,1,0,0,0,0,0
51,0.704,0.273,2704.76,783.66,1.02707352,0.2509999999999999,0.2151923216080201,29.84,0.8016692772999999,1.2540511455,84351.087072,35204.34364800001,4432.908848000001,1,0,0,0,0,0,0,0.0,21.767822924946028,5.389396669209058,0.9153310941220728,1.1506248961220265,6.159101799915687,13.186116363273417,0,1,0,0,1,0,0,0,0,0
